production_id	level	changed_ori_nat	changed_nat_str	original_text	natural_text	strong_text
1	ORI->NAT->STR	S	S	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal.	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe.	Ele e amigos passam as tardes pescando o peixe.
1	ORI->NAT->STR	S	N	Com o fim da piracema, período em que a pesca é proibida, será realizado no domingo o torneio Combate à Palometa.	Com o fim da piracema, será realizado no domingo o torneio Combate à Palometa.	Com o fim da piracema, será realizado no domingo o torneio Combate à Palometa.
1	ORI->NAT->STR	S	S	Pescadores tentarão retirar o maior número de peixes da espécie, que pode atingir 20 centímetros de comprimento e um quilo.	A espécie pode atingir 20 centímetros de comprimento e um quilo.	A palometa pode atingir 20 centímetros de comprimento e um quilo.
1	ORI->NAT->STR	N	S	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.	O torneio ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis.
1	ORI->NAT->STR	S	S	Segundo o chefe substituto do escritório regional, Guaracy Cunha, ainda há tempo para o pedido de licença.	Segundo o chefe substituto do escritório regional, ainda há tempo para o pedido de licença.	O chefe substituto do escritório regional disse que ainda dá tempo de pedir a licença.
1	ORI->NAT->STR	S	S	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva, presidente da associação dos moradores da localidade.	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva.	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos depois das refeições -- diz Adalberto Silva.
1	ORI->NAT->STR	S	S	Silva adquiriu uma tela de retenção com 150 metros, que deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas, com 3,7 mil hectares de área.	A tela deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas.	A tela deve ser instalada para separar o lugar da barragem mais usado pelos banhistas.
2	ORI->NAT->STR	S	N	Acessório utilizado por adolescentes, o boné é um dos itens que compõem a vestimenta idealizada pela proposta.	O boné é um dos itens da roupa imaginada pela proposta.	O boné é um dos itens da roupa imaginada pela proposta.
2	ORI->NAT->STR	S	N	Ao prever a distribuição gratuita de uniforme para alunos da rede pública, um projeto em discussão no Congresso institui uma controvérsia em escolas, prefeituras e secretarias de Educação.	Um projeto em discussão no Congresso criou uma polêmica em escolas, prefeituras e secretarias de educação.	Um projeto em discussão no Congresso criou uma polêmica em escolas, prefeituras e secretarias de educação.
2	ORI->NAT->STR	S	N	Além de ressuscitar o debate sobre a obrigatoriedade de um traje padrão entre os alunos e reacender a preocupação com a escassez de recursos públicos, a proposta cria uma discussão sobre a incorporação do boné no kit obrigatório.	Além disso, a proposta reanima o debate sobre a obrigação de uma roupa igual para todos os alunos.	Além disso, a proposta reanima o debate sobre a obrigação de uma roupa igual para todos os alunos.
2	ORI->NAT->STR	S	N	A matéria ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.	O projeto ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.	O projeto ainda precisa passar pela Câmara dos Deputados e pela Presidência da República antes de entrar em vigor.
2	ORI->NAT->STR	S	N	O acessório polêmico entrou no projeto, de autoria do senador Cícero Lucena (PSDB-PB), graças a uma emenda aprovada na Comissão de Educação do Senado em outubro.	O boné problemático entrou no projeto graças a uma emenda aprovada na Comissão de Educação do Senado em outubro.	O boné problemático entrou no projeto graças a uma emenda aprovada na Comissão de Educação do Senado em outubro.
2	ORI->NAT->STR	S	N	Foi o senador Flávio Arns (PT-PR) quem sugeriu a inclusão da peça entre os itens do uniforme de alunos dos ensinos Fundamental e Médio nas escolas municipais, estaduais e federais.	Foi o senador Flávio Arns que sugeriu a inclusão do boné no uniforme de alunos dos ensinos Fundamental e Médio nas escolas municipais, estaduais e federais.	Foi o senador Flávio Arns que sugeriu a inclusão do boné no uniforme de alunos dos ensinos Fundamental e Médio nas escolas municipais, estaduais e federais.
2	ORI->NAT->STR	N	N	Ele defende a medida como forma de proteger crianças e adolescentes dos males provocados pelo excesso de exposição aos raios solares.	Ele defende a medida como forma de proteger crianças e adolescentes dos males provocados pelo excesso de exposição aos raios solares.	Ele defende a medida como forma de proteger crianças e adolescentes dos males provocados pelo excesso de exposição aos raios solares.
2	ORI->NAT->STR	S	S	Se a idéia for aprovada, os estudantes receberão dois conjuntos anuais, completados por calçado, meias, calça e camiseta.	Se a idéia for aprovada, os estudantes receberão dois conjuntos anuais, completados com calçado, meias, calça e camiseta.	Se a idéia for aprovada, os alunos receberão dois conjuntos anuais, completados com calçado, meias, calça e camiseta.
2	ORI->NAT->STR	N	N	-- A gurizada precisa se habituar a se proteger do sol.	-- A gurizada precisa se habituar a se proteger do sol.	-- A gurizada precisa se habituar a se proteger do sol.
2	ORI->NAT->STR	S	S	Como será comprado em quantidade, o boné sairá por R$ 1 ou R$ 2.	Com isso, o boné sairá por R$ 1 ou R$ 2.	Com isso, o boné custará R$ 1 ou R$ 2.
2	ORI->NAT->STR	S	N	É muito mais barato do que adotar outra medida preventiva -- avalia Arns.	É muito mais barato do que adotar outra medida para evitar os males causados pelo sol -- avalia Arns.	É muito mais barato do que adotar outra medida para evitar os males causados pelo sol -- avalia Arns.
2	ORI->NAT->STR	S	S	A divergência ocorre porque educadores como Helvécio Aguiar, da Faculdade de Educação da Universidade Federal do Rio Grande do Sul (UFRGS), afirmam que a peça é desnecessária no uniforme obrigatório.	O desentendimento ocorre porque educadores como Helvécio Aguiar afirmam que o boné é desnecessário no uniforme obrigatório.	O desentendimento ocorre porque educadores como Helvécio Aguiar afirmam que o boné não é necessário no uniforme obrigatório.
2	ORI->NAT->STR	S	N	A divergência ocorre porque educadores como Helvécio Aguiar, da Faculdade de Educação da Universidade Federal do Rio Grande do Sul (UFRGS), afirmam que a peça é desnecessária no uniforme obrigatório.	Helvécio Aguiar é da Faculdade de Educação da Universidade Federal do Rio Grande do Sul.	Helvécio Aguiar é da Faculdade de Educação da Universidade Federal do Rio Grande do Sul.
2	ORI->NAT->STR	S	N	Professores ainda temem que a distribuição do acessório dificulte a imposição, nas classes, de uma regra da boa conduta:	Professores temem também que a distribuição de boné torne difícil impor nas classes uma regra da boa maneira de se comportar:	Professores temem também que a distribuição de boné torne difícil impor nas classes uma regra da boa maneira de se comportar:
2	ORI->NAT->STR	S	N	A retirada de chapéus e bonés da cabeça em ambientes fechados.	Retirar chapéus e bonés da cabeça em ambientes fechados.	Retirar chapéus e bonés da cabeça em ambientes fechados.
2	ORI->NAT->STR	S	S	Na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (Sec), a preocupação reside em outro ponto.	A preocupação está em outro ponto na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (Sec).	A preocupação da Federação das Associações de Municípios do RS (Famurs) e da Secretaria Estadual de Educação (Sec) é outra.
2	ORI->NAT->STR	S	S	Eles se inquietam com a fonte para custear os gastos milionários com a medida.	Elas se preocupam com o dinheiro para pagar os gastos de milhões de reais com a medida.	A preocupação é com o dinheiro para pagar os gastos de milhões de reais com os bonés.
2	ORI->NAT->STR	S	S	O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o Palácio do Planalto ajude Estados e municípios, mas mantém as dúvidas se as verbas serão suficientes.	O projeto prevê a criação do Programa Nacional de Uniforme escolar para que o governo federal ajude Estados e municípios.	O projeto prevê a criação do Programa Nacional de Uniforme Escolar para que o governo federal ajude Estados e municípios.
2	ORI->NAT->STR	N	N	-- Não podemos acrescentar nenhuma despesa no nosso orçamento.	-- Não podemos acrescentar nenhuma despesa no nosso orçamento.	-- Não podemos acrescentar nenhuma despesa no nosso orçamento.
2	ORI->NAT->STR	S	N	Já não temos recursos suficientes para a manutenção das escolas, por exemplo, e também precisamos valorizar o magistério -- justifica a diretora do Departamento Pedagógico da Sec, Sonia Balzano.	Além disso, precisamos valorizar os professores -- justifica a diretora do Departamento Pedagógico da Sec.	Além disso, precisamos valorizar os professores -- justifica a diretora do Departamento Pedagógico da Sec.
2	ORI->NAT->STR	S	S	Não fosse o aspecto financeiro, o projeto teria o apoio incondicional de Balzano e do presidente da Famurs, Flávio Luiz Lammel.	O projeto teria o apoio total de Balzano e do presidente da Famurs, se não fosse o problema de dinheiro.	Se não fosse o problema de dinheiro, o projeto teria o apoio total de Balzano e do presidente da Famurs.
2	ORI->NAT->STR	N	N	Eles repetem o argumento que justifica a proposta:	Eles repetem o argumento que justifica a proposta:	Eles repetem o argumento que justifica a proposta:
2	ORI->NAT->STR	S	S	Com a oferta do uniforme, as escolas públicas poderão torná-lo obrigatório, o que eliminaria a roupa como um indicador de diferenças sociais nas escolas e não criaria constrangimento aos alunos mais pobres.	Se o uniforme for oferecido, as escolas públicas poderão torná-lo obrigatório, com isso a roupa deixaria de ser um indicador de diferenças sociais nas escolas e não criaria vergonha nos alunos mais pobres.	Com isso, a roupa deixaria de ser um indicador de diferenças sociais nas escolas e não criaria vergonha nos alunos mais pobres.
2	ORI->NAT->STR	S	S	O foco principal da resistência vem dos próprios estudantes:	A principal resistência vem dos próprios estudantes:	A principal resistência vem dos próprios alunos:
2	ORI->NAT->STR	S	S	Uma parcela critica o uniforme, porque acredita que ele ameaçaria a individualidade de cada um.	Alguns criticam o uniforme, porque acreditam que ele ameaça a individualidade de cada um.	Alguns acreditam que o uniforme ameaça a individualidade de cada um.
3	ORI->NAT->STR	S	S	Para complicar ainda mais a situação dos militares dos EUA no Iraque, uma nova denúncia de massacre de civis por suas tropas veio à tona ontem.	Uma nova denúncia de matança de civis por tropas dos EUA surgiu ontem, para complicar ainda mais a situação dos militares americanos no Iraque.	Uma nova denúncia de matança de civis por tropas dos EUA surgiu ontem.
3	ORI->NAT->STR	S	N	Um vídeo gravado após uma operação militar dos EUA em 15 de março na vila de Ishaqi, 80 quilômetros ao norte de Bagdá, mostra o resultado da operação:	Um vídeo gravado após uma operação militar dos EUA em 15 de março na vila de Ishaqi mostra o resultado da operação:	Um vídeo gravado após uma operação militar dos EUA em 15 de março na vila de Ishaqi mostra o resultado da operação:
3	ORI->NAT->STR	S	S	Corpos de crianças e adultos iraquianos crivados de balas, alguns com tiros na cabeça.	A vila de Ishaqi fica 80 quilômetros ao norte de Bagdá.	A vila de Ishaqi fica a 80 quilômetros ao norte de Bagdá.
3	ORI->NAT->STR	S	N	A conclusão da investigação do exército sobre o caso, que vazou para a imprensa, afirma que as acusações de homicídio doloso (com intenção) eram "infundadas".	A conclusão da investigação do exército sobre o caso afirma que as acusações de homicídio doloso eram "infundadas".	A conclusão da investigação do exército sobre o caso afirma que as acusações de homicídio doloso eram "infundadas".
3	ORI->NAT->STR	S	S	-- Parece que o assassinato de civis iraquianos transformou-se em um fenômeno cotidiano e banal -- disse o presidente da Associação Iraquiana dos Direitos Humanos, Muayed al-Anbaki.	-- Parece que o assassinato de civis iraquianos transformou-se em um fenômeno comum e banal -- disse o presidente da Associação Iraquiana dos Direitos Humanos, Muayed al-Anbaki.	-- Parece que o assassinato de civis iraquianos transformou-se em um fenômeno comum e banal -- disse o presidente da Associação Iraquiana dos Direitos Humanos.
3	ORI->NAT->STR	S	N	Trechos do vídeo foram exibidos pela rede britânica BBC e mostram uma fileira de corpos com ferimentos claramente provocados por tiros.	Os trechos do vídeo mostram uma fileira de corpos com ferimentos claramente provocados por tiros.	Os trechos do vídeo mostram uma fileira de corpos com ferimentos claramente provocados por tiros.
3	ORI->NAT->STR	S	S	Mais cedo, o primeiro-ministro iraquiano, Nouri al-Maliki, havia criticado os EUA devido à acusação de que seus fuzileiros navais mataram 24 civis desarmados na cidade de Haditha, em novembro.	Ele criticou os EUA por causa da morte de 24 civis desarmados na cidade de Haditha em novembro.	Nouri al-Maliki criticou os EUA por causa da morte de 24 civis desarmados na cidade de Haditha em novembro.
3	ORI->NAT->STR	S	N	Toda a operação teria sido armada para vingar a morte de um companheiro em um atentado a bomba.	Toda a operação teria sido preparada para vingar a morte de um companheiro em um atentado a bomba.	Toda a operação teria sido preparada para vingar a morte de um companheiro em um atentado a bomba.
3	ORI->NAT->STR	S	N	O premier classificou o episódio de "crime horrível".	O primeiro-ministro classificou a operação de "crime horrível".	O primeiro-ministro classificou a operação de "crime horrível".
3	ORI->NAT->STR	S	N	Além de uma investigação sobre o incidente, o comando das forças armadas ordenou que todos os soldados recebam treinamento extra sobre "padrões morais, éticos e legais no campo de batalha".	Além disso, o comando das forças armadas ordenou que todos os soldados recebam treinamento extra sobre "padrões morais, éticos e legais no campo de batalha".	Além disso, o comando das forças armadas ordenou que todos os soldados recebam treinamento extra sobre "padrões morais, éticos e legais no campo de batalha".
3	ORI->NAT->STR	S	N	Isso dificilmente conterá a torrente de denúncias que ameaça minar o novo governo iraquiano e o apoio do público nos EUA à guerra iniciada pelo presidente George W Bush.	Isso dificilmente conterá a grande quantidade de denúncias que ameaça o apoio do público dos EUA à guerra iniciada pelo presidente George W Bush.	Isso dificilmente conterá a grande quantidade de denúncias que ameaça o apoio do público dos EUA à guerra iniciada pelo presidente George W Bush.
3	ORI->NAT->STR	S	N	Na época da operação em Ishaqi, os militares dos EUA anunciaram que houve um confronto entre os fuzileiros e um suposto integrante da Al-Qaeda.	Os militares dos EUA anunciaram que houve um confronto entre os fuzileiros e alguém que achavam que era integrante da Al-Qaeda na época da operação em Ishaqi.	Os militares dos EUA anunciaram que houve um confronto entre os fuzileiros e alguém que achavam que era integrante da Al-Qaeda na época da operação em Ishaqi.
3	ORI->NAT->STR	S	N	Em meio à intensa troca de tiros, uma casa desabou, matando o suspeito, duas mulheres e uma criança.	Uma casa desabou no meio da troca de tiros, matando o suspeito, duas mulheres e uma criança.	Uma casa desabou no meio da troca de tiros, matando o suspeito, duas mulheres e uma criança.
3	ORI->NAT->STR	S	N	Mas um vídeo de um cinegrafista da agência de notícias Associated Press (AP), divulgado no mesmo dia, já mostrava pelo menos cinco crianças mortas.	Mas um vídeo de um cinegrafista da agência de notícias Associated Press já mostrava pelo menos cinco crianças mortas.	Mas um vídeo de um cinegrafista da agência de notícias Associated Press já mostrava pelo menos cinco crianças mortas.
3	ORI->NAT->STR	S	N	Um adulto e quatro crianças têm evidentes marcas de tiros na cabeça -- o que reforça a tese de execuções.	Um adulto e quatro crianças têm marcas claras de tiros na cabeça.	Um adulto e quatro crianças têm marcas claras de tiros na cabeça.
3	ORI->NAT->STR	S	N	Moradores do local afirmam que 11 pessoas foram mortas -- e garantem que isso ocorreu antes de a casa ser destruída.	Moradores do local garantem que isso ocorreu antes de a casa ser destruída.	Moradores do local garantem que isso ocorreu antes de a casa ser destruída.
3	ORI->NAT->STR	N	N	Nos EUA, um sargento envolvido no escândalo da penitenciária de Abu Ghraib escapou da pena de prisão.	Nos EUA, um sargento envolvido no escândalo da penitenciária de Abu Ghraib escapou da pena de prisão.	Nos EUA, um sargento envolvido no escândalo da penitenciária de Abu Ghraib escapou da pena de prisão.
3	ORI->NAT->STR	S	N	Considerado culpado de ameaçar com um cachorro sem focinheira um dos detentos e de negligência no cumprimento do dever, ele foi rebaixado e condenado ontem por um tribunal militar a 90 dias de trabalho forçado sem confinamento.	Ele foi condenado ontem por um tribunal militar a 90 dias de trabalho forçado sem prisão.	Ele foi condenado ontem por um tribunal militar a 90 dias de trabalho forçado sem prisão.
4	ORI->NAT->STR	S	N	Estatísticas de março indicam que o roubo de carros é um crime resistente às ações policiais.	Números de março indicam que o roubo de carros é um crime resistente às ações policiais.	Números de março indicam que o roubo de carros é um crime resistente às ações policiais.
4	ORI->NAT->STR	S	S	Blitze, barreiras e operações em profusão foram insuficientes para conter um crescimento de 11,12% em relação a março de 2006.	Fiscalizações policiais, barreiras e operações em grande quantidade foram pouco para conter um crescimento de 11,12% quando comparado com março de 2006.	Controles policiais, barreiras e operações em grande quantidade foram pouco para conter um crescimento de 11,12% no roubo quando comparado com março de 2006.
4	ORI->NAT->STR	S	N	O aumento de casos frustrou expectativas e fez as autoridades reverem estratégias.	O aumento de casos fez as autoridades reverem estratégias.	O aumento de casos fez as autoridades reverem estratégias.
4	ORI->NAT->STR	S	N	O secretário da Segurança Pública, Enio Bacci, disse que o aumento está ligado à legislação branda contra desmanches, ao aumento da frota e ao chamado golpe do seguro -- quando o dono vende o carro a bandidos e recebe um novo da seguradora, mas reconheceu que precisa ajustar a repressão.	O secretário da Segurança Pública disse que o aumento está ligado à legislação pouco rigorosa contra desmanches, ao aumento da quantidade de carros e ao chamado golpe do seguro.	O secretário da Segurança Pública disse que o aumento está ligado à legislação pouco rigorosa contra desmanches, ao aumento da quantidade de carros e ao chamado golpe do seguro.
4	ORI->NAT->STR	S	S	-- Propomos mudanças na legislação, com a numeração das peças dos carros que vão para desmanches.	-- Propomos mudanças na legislação, com a colocação de números nas peças dos carros que vão para desmanches.	Propomos colocar números nas peças dos carros que vão para desmanches.
4	ORI->NAT->STR	S	S	Estamos cadastrando ferros-velhos, mas não tivemos um trabalho forte contra a clonagem e agora vamos atacar para valer -- admitiu Bacci.	Estamos reunindo informações sobre ferros-velhos, mas não tivemos um trabalho forte contra a clonagem.	Mas não tivemos um trabalho forte contra a clonagem.
4	ORI->NAT->STR	S	N	O secretário estimou que a clonagem pode ser o destino de até 40% dos veículos roubados.	O secretário calculou que a clonagem pode ser o destino de até 40% dos veículos roubados.	O secretário calculou que a clonagem pode ser o destino de até 40% dos veículos roubados.
4	ORI->NAT->STR	S	N	Segundo ele, foram identificados pontos de clonagem na Região Metropolitana, que serão desarticulados em breve.	O secretário afirma que foram identificados pontos de clonagem na Região Metropolitana.	O secretário afirma que foram identificados pontos de clonagem na Região Metropolitana.
4	ORI->NAT->STR	S	S	Um deles teria a participação de policiais civis e militares que dariam proteção aos bandidos.	Um deles teria a participação de policiais civis e militares.	Policiais civis e militares participariam de um dos pontos de clonagem.
4	ORI->NAT->STR	S	N	Outra forma para combater o crime deverá contar com a ajuda de ladrões de carro.	Outra forma para combater o crime deverá contar com a ajuda de ladrões de carros.	Outra forma para combater o crime deverá contar com a ajuda de ladrões de carros.
4	ORI->NAT->STR	S	N	Bacci pretende oferecer recompensa, a chamada delação premiada, a bandidos que colaborarem com as investigações para desarticular as grandes quadrilhas.	Bacci pretende oferecer recompensa a bandidos que colaborarem com as investigações para desmanchar as grandes quadrilhas.	Bacci pretende oferecer recompensa a bandidos que colaborarem com as investigações para desmanchar as grandes quadrilhas.
4	ORI->NAT->STR	S	N	Autores de furto estariam migrando para o roubo.	Autores de furto estariam mudando para o roubo.	Autores de furto estariam mudando para o roubo.
4	ORI->NAT->STR	S	S	O subcomandante-geral da BM, coronel Paulo Roberto Mendes, reconheceu que o incremento nos roubos pode estar ligado a deficiências nas manobras adotadas.	O subcomandante-geral da BM reconheceu que o aumento nos roubos pode estar ligado a deficiências nas medidas aplicadas, especialmente na Capital, onde ocorrem 54,9% dos casos do Estado.	O subcomandante-geral da BM reconheceu que o aumento nos roubos pode estar ligado a deficiências nas medidas aplicadas.
4	ORI->NAT->STR	S	N	Especialmente na Capital, onde ocorrem 54,9% dos casos do Estado.	O subcomandante-geral da BM é o coronel Paulo Roberto Mendes.	O subcomandante-geral da BM é o coronel Paulo Roberto Mendes.
4	ORI->NAT->STR	S	S	Em março, o Comando de Policiamento da Capital (CPC) atingiu 40% do número previsto para fiscalização de veículos, enquanto outros comandos regionais, como Metropolitano, Sul, Missões e Vale do Taquari, superaram as metas estipuladas.	O Comando de Policiamento da Capital (CPC) atingiu em março 40% do número previsto para controle de veículos.	O Comando de Policiamento da Capital (CPC) atingiu em março 40% da meta de controle de veículos.
4	ORI->NAT->STR	S	S	-- O CPC está abaixo do que queremos, apesar do aumento em relação a janeiro, quando atingiu 5% da meta.	-- O CPC está abaixo do que queremos, apesar do aumento quando comparado com janeiro.	-- Houve aumento quando comparado com janeiro.
4	ORI->NAT->STR	S	S	-- O CPC está abaixo do que queremos, apesar do aumento em relação a janeiro, quando atingiu 5% da meta.	-- O CPC está abaixo do que queremos, apesar do aumento quando comparado com janeiro.	Mas o CPC está abaixo do que queremos.
4	ORI->NAT->STR	S	N	Sabemos que o crime anda sobre rodas e que o problema está em Porto Alegre.	Sabemos que o problema está em Porto Alegre.	Sabemos que o problema está em Porto Alegre.
4	ORI->NAT->STR	S	N	Hoje (ontem) mesmo nos reunimos para buscar soluções -- afirmou Mendes.	Hoje mesmo nos reunimos para buscar soluções -- afirmou Mendes.	Hoje mesmo nos reunimos para buscar soluções -- afirmou Mendes.
4	ORI->NAT->STR	S	N	Enquanto subiu o roubo de carros -- quando a vítima é abordada por assaltantes­, diminuíram em 28,67% os casos de furto de veículos -- quando o ladrão age sem a presença da vítima.	O furto acontece quando o ladrão age sem a presença da vítima.	O furto acontece quando o ladrão age sem a presença da vítima.
4	ORI->NAT->STR	N	N	Quanto mais moderno o veículo, maior o risco de o motorista ser vítima de roubo.	Quanto mais moderno o veículo, maior o risco de o motorista ser vítima de roubo.	Quanto mais moderno o veículo, maior o risco de o motorista ser vítima de roubo.
4	ORI->NAT->STR	S	N	Isso porque carros novos têm cada vez mais dispositivos de segurança, como alarme, bloqueador de combustível e chave codificada.	Isso acontece porque os carros novos têm cada vez mais aparelhos de segurança.	Isso acontece porque os carros novos têm cada vez mais aparelhos de segurança.
4	ORI->NAT->STR	S	N	Segundo especialistas, a ampliação de tecnologias seria a razão para a queda dos furtos.	Os especialistas afirmam que a maior quantidade de tecnologias seria a razão para a queda dos furtos.	Os especialistas afirmam que a maior quantidade de tecnologias seria a razão para a queda dos furtos.
4	ORI->NAT->STR	S	N	-- Quando o criminoso quer um carro novo, ele prefere assaltar -- diz Marcos Vinícius Souza, professor do curso de Gestão em Segurança da Universidade de Santa Cruz.	Marcos Vinícius Souza é professor do curso de Gestão em Segurança da Universidade de Santa Cruz.	Marcos Vinícius Souza é professor do curso de Gestão em Segurança da Universidade de Santa Cruz.
5	ORI->NAT->STR	S	S	A quatro meses da eleição de 1º de outubro, a maioria dos partidos ainda não fechou sua escalação para a disputa pelo Palácio Piratini, formando o cenário mais instável dos últimos anos.	Quatro meses antes da eleição de 1º de outubro, a maioria dos partidos ainda não escolheu os candidatos para a disputa pelo Palácio Piratini.	Faltando quatro meses para a eleição de 1º de outubro, a maioria dos partidos ainda não escolheu os candidatos que vão disputar a vaga para governador do Estado.
5	ORI->NAT->STR	S	S	Diferentemente de outros pleitos, as legendas este ano são obrigadas a driblar novas regras eleitorais, desgaste da imagem da classe política e projetos nacionais envolvendo líderes gaúchos.	Diferentemente de outras eleições, as legendas este ano são obrigadas a driblar novas regras eleitorais, enfraquecimento da imagem da classe política e projetos nacionais envolvendo líderes gaúchos.	Este ano, as legendas são obrigadas a driblar novas regras eleitorais, perda de força da imagem da classe política e projetos nacionais envolvendo líderes gaúchos.
5	ORI->NAT->STR	S	N	Nesta época em 2002, candidatos já estavam em campo.	Nesta época em 2002, os candidatos já estavam em campo.	Nesta época em 2002, os candidatos já estavam em campo.
5	ORI->NAT->STR	S	N	Pelo PP (então PPB), Celso Bernardi disparava críticas contra o então secretário da Justiça e da Segurança, José Paulo Bisol.	Celso Bernardi disparava críticas contra o secretário da Justiça e da Segurança daquela época.	Celso Bernardi disparava críticas contra o secretário da Justiça e da Segurança daquela época.
5	ORI->NAT->STR	S	N	Bernardi tinha Denise Kempf como vice.	Denise Kempf era vice de Bernardi.	Denise Kempf era vice de Bernardi.
5	ORI->NAT->STR	S	N	O PP de hoje apresenta o deputado federal Francisco Turra como concorrente, mas negocia a composição da chapa.	O PP de hoje apresenta o deputado federal Francisco Turra como concorrente.	O PP de hoje apresenta o deputado federal Francisco Turra como concorrente.
5	ORI->NAT->STR	S	N	Em 29 de maio de 2002, Antônio Britto (PPS) cumpria agenda no Vale do Sinos.	Em 29 de maio de 2002, Antônio Britto cumpria agenda no Vale dos Sinos.	Em 29 de maio de 2002, Antônio Britto cumpria agenda no Vale dos Sinos.
5	ORI->NAT->STR	S	N	Germano Bonow (PFL) era seu companheiro de chapa.	Germano Bonow era seu companheiro de chapa.	Germano Bonow era seu companheiro de chapa.
5	ORI->NAT->STR	S	S	O PFL de 2006 ainda não cravou um nome na disputa, e o PPS tenta firmar uma aliança em torno do deputado federal Nelson Proença.	O PPS tenta fazer uma aliança em torno do deputado federal Nelson Proença.	O PPS tenta fazer uma aliança em torno do deputado Nelson Proença.
5	ORI->NAT->STR	S	N	Novas regras eleitorais dificultam negociação.	Novas regras eleitorais tornam o entendimento mais difícil.	Novas regras eleitorais tornam o entendimento mais difícil.
